iri	id	current
ZP:0020023	0-0-ZFA:0009052-PATO:0001671-0-0-0	
ZP:0012972	0-0-ZFA:0000155-PATO:0000467-0-0-0	
ZP:0002924	0-0-GO:0042384-PATO:0001236-0-0-0	
ZP:0012894	0-0-GO:0042384-PATO:0001433-0-0-0	
ZP:0009266	0-0-ZFA:0000114-PATO:0000460-0-0-0	
ZP:0017135	0-0-ZFA:0000115-PATO:0000140-0-0-0	
ZP:0017199	0-0-GO:0097369-PATO:0002052-0-0-0	
ZP:0009171	0-0-ZFA:0000283-PATO:0000937-0-0-0	
ZP:0009170	0-0-ZFA:0000283-PATO:0000587-0-0-0	
ZP:0009161	0-0-GO:0048769-PATO:0002302-0-0-0	
ZP:0007925	0-0-GO:0060047-PATO:0000460-0-0-0	
ZP:0007907	0-0-GO:0050885-PATO:0000460-0-0-0	
ZP:0009019	0-0-GO:0007004-PATO:0000460-0-0-0	
ZP:0012509	0-0-ZFA:0000029-PATO:0002001-0-0-ZFA:0005182	
ZP:0010852	0-0-ZFA:0005110-PATO:0000460-0-0-0	
ZP:0009945	0-0-GO:0016337-PATO:0002051-0-0-0	
ZP:0000771	0-0-GO:0040016-PATO:0000460-0-0-0	
ZP:0000773	0-0-GO:1900107-PATO:0000460-0-0-0	
ZP:0012239	0-0-ZFA:0000529-PATO:0001999-0-0-ZFA:0009014	
ZP:0012094	0-0-GO:0097369-PATO:0002051-0-0-0	
ZP:0000964	0-0-GO:0021960-PATO:0000460-0-0-0	
ZP:0010889	0-0-GO:0035476-PATO:0000460-0-0-0	
ZP:0010844	0-0-ZFA:0001458-PATO:0000460-0-0-0	
ZP:0004583	0-0-ZFA:0001469-PATO:0000460-0-0-0	
ZP:0019139	0-0-GO:0009792-PATO:0002302-0-0-0	
ZP:0022108	0-0-ZFA:0000024-PATO:0001671-0-0-0	
ZP:0005961	0-0-GO:0009792-PATO:0001507-0-0-0	
ZP:0000281	0-0-GO:0048709-PATO:0000460-0-0-0	
ZP:0000278	0-0-GO:0021865-PATO:0002051-0-0-0	
ZP:0010480	0-0-GO:0016271-PATO:0002051-0-0-0	
ZP:0010456	0-0-ZFA:0005249-PATO:0000460-0-0-0	
ZP:0005795	0-0-GO:0015992-PATO:0001507-0-0-0	
ZP:0005762	0-0-GO:0008345-PATO:0000460-0-0-0	
ZP:0005761	0-0-GO:0007528-PATO:0000460-0-0-0	
ZP:0005724	0-0-GO:0008105-PATO:0001507-0-0-0	
ZP:0019591	0-0-GO:0009792-PATO:0000297-0-0-0	
ZP:0005643	0-0-ZFA:0000089-PATO:0000646-0-0-0	
ZP:0000001	0-0-ZFA:0100000-PATO:0000001-0-0-0	
ZP:0010242	0-0-ZFA:0005035-PATO:0000460-0-0-0	
ZP:0009447	0-0-GO:0007067-PATO:0001507-0-0-0	
ZP:0009464	0-0-GO:0042516-PATO:0001507-0-0-0	
ZP:0010155	0-0-ZFA:0001446-PATO:0000051-0-0-0	
ZP:0020260	0-0-ZFA:0001338-PATO:0001671-0-0-0	
ZP:0020169	0-0-ZFA:0000548-PATO:0001672-0-0-0	
ZP:0020086	0-0-ZFA:0000079-PATO:0001671-0-0-0	
ZP:0015364	0-0-ZFA:0001200-PATO:0000467-0-0-0	
ZP:0005759	0-0-GO:0007274-PATO:0000460-0-0-0	
ZP:0017133	0-0-ZFA:0000101-PATO:0000140-0-0-0	
ZP:0013930	0-0-GO:0005575-PATO:0000001-0-0-0	
ZP:0013929	0-0-GO:0003674-PATO:0000001-0-0-0	
ZP:0013928	0-0-GO:0008150-PATO:0000001-0-0-0	
ZP:0003681	0-0-ZFA:0005604-PATO:0000460-0-0-0	
ZP:0003653	0-0-GO:0007155-PATO:0000460-0-0-0	
ZP:0003633	0-0-GO:0007067-PATO:0000297-0-0-0	
ZP:0015017	0-0-ZFA:0001462-PATO:0000070-0-0-0	
ZP:0006588	0-0-GO:0007067-PATO:0002052-0-0-0	
ZP:0003590	0-0-GO:0000046-PATO:0000297-0-0-0	
ZP:0020022	0-0-ZFA:0000101-PATO:0001671-0-0-0	
ZP:0013740	0-0-ZFA:0001311-PATO:0000915-0-0-0	
ZP:0013686	0-0-GO:0007269-PATO:0000044-0-0-0	
ZP:0013587	0-0-GO:0007067-PATO:0000057-0-0-0	
ZP:0010636	0-0-ZFA:0001460-PATO:0000460-0-0-0	
ZP:0003201	0-0-GO:0007067-PATO:0002051-0-0-0	
ZP:0013468	0-0-GO:0060047-PATO:0000505-0-0-0	
ZP:0022114	0-0-ZFA:0001289-PATO:0001671-0-0-0	
ZP:0008616	0-0-GO:0040023-PATO:0001507-0-0-0	
ZP:0013238	0-0-ZFA:0005182-PATO:0000070-0-0-0	
ZP:0001752	0-0-GO:0007067-PATO:0001236-0-0-0	
ZP:0006795	0-0-GO:0014720-PATO:0000460-0-0-0	
ZP:0013049	0-0-GO:0060026-PATO:0000057-0-0-0	
ZP:0008276	0-0-ZFA:0001114-PATO:0000460-0-0-0	
ZP:0008271	0-0-ZFA:0000107-PATO:0000460-0-0-0	
ZP:0011774	0-0-ZFA:0001558-PATO:0001961-0-0-ZFA:0001558	
ZP:0011773	0-0-ZFA:0001558-PATO:0000967-0-0-0	
ZP:0011772	0-0-ZFA:0001558-PATO:0000402-0-0-0	
