id	iri
0-0-ZFA:0100000-PATO:0000001-0-0-0	ZP:0000001
0-0-GO:0001756-PATO:0001507-0-0-0	ZP:0000002
0-0-GO:0001757-PATO:0001507-0-0-0	ZP:0000003
0-0-GO:0003140-PATO:0001507-0-0-0	ZP:0000004
0-0-GO:0007398-PATO:0001507-0-0-0	ZP:0000005
0-0-GO:0048368-PATO:0001507-0-0-0	ZP:0000006
0-0-GO:0048514-PATO:0001507-0-0-0	ZP:0000007
0-0-GO:0060218-PATO:0001507-0-0-0	ZP:0000008
0-0-ZFA:0000007-PATO:0001997-0-0-0	ZP:0000009
ZFA:0001462-BFO:0000050-ZFA:0000073-PATO:0001332-0-0-0	ZP:0000010
0-0-ZFA:0000155-PATO:0000001-0-0-0	ZP:0000011
0-0-ZFA:0000155-PATO:0000051-0-0-0	ZP:0000012
0-0-ZFA:0000155-PATO:0000052-0-0-0	ZP:0000013
ZFA:0001462-BFO:0000050-ZFA:0000733-PATO:0001332-0-0-0	ZP:0000014
ZFA:0001462-BFO:0000050-ZFA:0000858-PATO:0001332-0-0-0	ZP:0000015
ZFA:0001462-BFO:0000050-ZFA:0000982-PATO:0001332-0-0-0	ZP:0000016
ZFA:0001462-BFO:0000050-ZFA:0000983-PATO:0001332-0-0-0	ZP:0000017
0-0-ZFA:0001117-PATO:0000001-0-0-0	ZP:0000018
0-0-ZFA:0001285-PATO:0000646-0-0-0	ZP:0000019
0-0-ZFA:0001462-PATO:0000330-0-0-0	ZP:0000020
0-0-ZFA:0001462-PATO:0001617-0-0-0	ZP:0000021
0-0-ZFA:0009014-PATO:0001997-0-0-0	ZP:0000022
0-0-ZFA:0000029-PATO:0000051-0-0-0	ZP:0000023
ZFA:0009052-BFO:0000050-ZFA:0000075-PATO:0001997-0-0-0	ZP:0000024
0-0-ZFA:0000778-PATO:0001997-0-0-0	ZP:0000025
0-0-ZFA:0001115-PATO:0000574-0-0-0	ZP:0000026
0-0-ZFA:0001117-PATO:0000574-0-0-0	ZP:0000027
0-0-GO:0007492-PATO:0001507-0-0-0	ZP:0000028
0-0-GO:0031290-PATO:0001507-0-0-0	ZP:0000029
0-0-GO:0048741-PATO:0001507-0-0-0	ZP:0000030
0-0-GO:0048798-PATO:0000297-0-0-0	ZP:0000031
0-0-ZFA:0000008-PATO:0000001-0-0-0	ZP:0000032
0-0-ZFA:0000017-PATO:0000051-0-0-0	ZP:0000033
0-0-ZFA:0000029-PATO:0000001-0-0-0	ZP:0000034
0-0-ZFA:0000042-PATO:0000646-0-0-0	ZP:0000035
0-0-ZFA:0000045-PATO:0000001-0-0-0	ZP:0000036
0-0-ZFA:0000046-PATO:0002000-BSPO:0000084-BFO:0000050-ZFA:0000143	ZP:0000037
0-0-ZFA:0000054-PATO:0001450-0-0-0	ZP:0000038
0-0-ZFA:0000076-PATO:0001241-0-0-0	ZP:0000039
0-0-ZFA:0000084-PATO:0000001-0-0-0	ZP:0000040
0-0-ZFA:0000095-PATO:0000001-0-0-0	ZP:0000041
0-0-ZFA:0000100-PATO:0000646-0-0-0	ZP:0000042
0-0-ZFA:0000107-PATO:0000587-0-0-0	ZP:0000043
0-0-ZFA:0000114-PATO:0000001-0-0-0	ZP:0000044
0-0-ZFA:0000123-PATO:0001921-0-0-0	ZP:0000045
0-0-ZFA:0000141-PATO:0001483-0-0-0	ZP:0000046
0-0-ZFA:0000143-PATO:0000937-0-0-0	ZP:0000047
0-0-ZFA:0000152-PATO:0000051-0-0-0	ZP:0000048
0-0-ZFA:0000292-PATO:0000001-0-0-0	ZP:0000049
0-0-ZFA:0000445-PATO:0000587-0-0-0	ZP:0000050
0-0-ZFA:0000445-PATO:0000937-0-0-0	ZP:0000051
0-0-ZFA:0000570-PATO:0000051-0-0-0	ZP:0000052
ZFA:0005198-BFO:0000050-ZFA:0001032-PATO:0000628-0-0-0	ZP:0000053
0-0-ZFA:0001114-PATO:0000587-0-0-0	ZP:0000054
0-0-ZFA:0001161-PATO:0000001-0-0-0	ZP:0000055
0-0-ZFA:0001161-PATO:0001483-0-0-0	ZP:0000056
0-0-ZFA:0001205-PATO:0000587-0-0-0	ZP:0000057
0-0-ZFA:0001205-PATO:0000642-0-0-ZFA:0001400	ZP:0000058
0-0-ZFA:0001249-PATO:0001921-0-0-0	ZP:0000059
0-0-ZFA:0001260-PATO:0001921-0-0-0	ZP:0000060
0-0-ZFA:0001383-PATO:0001483-0-0-0	ZP:0000061
0-0-ZFA:0001399-PATO:0000587-0-0-0	ZP:0000062
0-0-ZFA:0001399-PATO:0000642-0-0-ZFA:0001422	ZP:0000063
0-0-ZFA:0001400-PATO:0000587-0-0-0	ZP:0000064
0-0-ZFA:0001422-PATO:0000587-0-0-0	ZP:0000065
0-0-ZFA:0001516-PATO:0000462-0-0-0	ZP:0000066
0-0-ZFA:0005198-PATO:0000470-0-0-0	ZP:0000067
0-0-ZFA:0009149-PATO:0000462-0-0-0	ZP:0000068
0-0-GO:0007411-PATO:0001507-0-0-0	ZP:0000069
0-0-GO:0021772-PATO:0001507-0-0-0	ZP:0000070
0-0-GO:0048883-PATO:0000502-0-0-0	ZP:0000071
0-0-GO:0048918-PATO:0001507-0-0-0	ZP:0000072
0-0-GO:0060384-PATO:0001507-0-0-0	ZP:0000073
0-0-GO:0097155-PATO:0001507-0-0-0	ZP:0000074
0-0-ZFA:0000048-PATO:0000937-0-0-0	ZP:0000075
0-0-ZFA:0000175-PATO:0000574-0-0-0	ZP:0000076
0-0-ZFA:0000357-PATO:0001483-0-0-0	ZP:0000077
0-0-ZFA:0000402-PATO:0000937-0-0-0	ZP:0000078
ZFA:0009276-BFO:0000050-ZFA:0000402-PATO:0001997-0-0-0	ZP:0000079
ZFA:0009301-BFO:0000050-ZFA:0000402-PATO:0001997-0-0-0	ZP:0000080
0-0-ZFA:0000554-PATO:0000937-0-0-0	ZP:0000081
0-0-ZFA:0000554-PATO:0001786-0-0-0	ZP:0000082
0-0-ZFA:0000940-PATO:0000646-0-0-0	ZP:0000083
0-0-ZFA:0000940-PATO:0001997-0-0-0	ZP:0000084
0-0-ZFA:0001157-PATO:0000411-0-0-0	ZP:0000085
0-0-ZFA:0001157-PATO:0001870-0-0-0	ZP:0000086
0-0-ZFA:0001472-PATO:0001997-0-0-0	ZP:0000087
0-0-ZFA:0009125-PATO:0000060-0-0-0	ZP:0000088
GO:0030424-BFO:0000050-ZFA:0009125-PATO:0000574-0-0-0	ZP:0000089
GO:0030424-BFO:0000050-ZFA:0009125-PATO:0000937-0-0-0	ZP:0000090
0-0-ZFA:0009367-PATO:0001997-0-0-0	ZP:0000091
0-0-GO:0004853-PATO:0000911-0-0-0	ZP:0000092
0-0-GO:0006778-PATO:0001507-0-0-0	ZP:0000093
0-0-ZFA:0000007-PATO:0000001-0-0-0	ZP:0000094
0-0-ZFA:0001094-PATO:0000718-0-0-0	ZP:0000095
0-0-ZFA:0009256-PATO:0000018-0-0-0	ZP:0000096
0-0-GO:0001706-PATO:0001236-0-0-0	ZP:0000097
0-0-GO:0001714-PATO:0001507-0-0-0	ZP:0000098
0-0-GO:0021999-PATO:0000297-0-0-0	ZP:0000099
0-0-ZFA:0000008-PATO:0000051-0-0-0	ZP:0000100
ZFA:0009139-BFO:0000050-ZFA:0000017-PATO:0001997-0-0-0	ZP:0000101
0-0-ZFA:0000084-PATO:0000586-0-0-0	ZP:0000102
0-0-ZFA:0000106-PATO:0000574-0-0-0	ZP:0000103
0-0-ZFA:0000106-PATO:0000591-0-0-0	ZP:0000104
0-0-ZFA:0000110-PATO:0001478-0-0-0	ZP:0000105
0-0-ZFA:0000112-PATO:0001483-0-0-0	ZP:0000106
0-0-ZFA:0000114-PATO:0000051-0-0-0	ZP:0000107
0-0-ZFA:0000114-PATO:0000403-0-0-0	ZP:0000108
0-0-ZFA:0000114-PATO:0001473-0-0-0	ZP:0000109
0-0-ZFA:0000135-PATO:0001483-0-0-0	ZP:0000110
0-0-ZFA:0000155-PATO:0000642-0-0-ZFA:0000155	ZP:0000111
0-0-ZFA:0000159-PATO:0001478-0-0-0	ZP:0000112
0-0-ZFA:0000360-PATO:0001473-0-0-0	ZP:0000113
0-0-ZFA:0000360-PATO:0001784-0-0-0	ZP:0000114
0-0-ZFA:0000396-PATO:0000001-0-0-0	ZP:0000115
BSPO:0000013-BFO:0000050-ZFA:0001094-PATO:0001469-0-0-0	ZP:0000116
0-0-ZFA:0001114-PATO:0000645-0-0-0	ZP:0000117
0-0-ZFA:0001259-PATO:0001478-0-0-0	ZP:0000118
0-0-GO:0001958-PATO:0001507-0-0-0	ZP:0000119
0-0-GO:0002062-PATO:0000502-0-0-0	ZP:0000120
0-0-ZFA:0000107-PATO:0000628-0-0-0	ZP:0000121
0-0-ZFA:0000135-PATO:0000967-0-0-0	ZP:0000122
0-0-ZFA:0000547-PATO:0000462-0-0-0	ZP:0000123
0-0-ZFA:0001114-PATO:0000646-0-0-0	ZP:0000124
0-0-ZFA:0001205-PATO:0000628-0-0-0	ZP:0000125
0-0-ZFA:0001205-PATO:0000646-0-0-0	ZP:0000126
0-0-ZFA:0001239-PATO:0000025-0-0-0	ZP:0000127
0-0-ZFA:0001306-PATO:0001483-0-0-0	ZP:0000128
0-0-ZFA:0001321-PATO:0000587-0-0-0	ZP:0000129
0-0-ZFA:0001321-PATO:0000646-0-0-0	ZP:0000130
0-0-ZFA:0001400-PATO:0000628-0-0-0	ZP:0000131
0-0-ZFA:0001400-PATO:0000646-0-0-0	ZP:0000132
0-0-ZFA:0001405-PATO:0000587-0-0-0	ZP:0000133
0-0-ZFA:0001458-PATO:0000937-0-0-0	ZP:0000134
0-0-ZFA:0001460-PATO:0000937-0-0-0	ZP:0000135
0-0-ZFA:0001516-PATO:0000587-0-0-0	ZP:0000136
0-0-ZFA:0001633-PATO:0000051-0-0-0	ZP:0000137
0-0-ZFA:0009084-PATO:0000937-0-0-0	ZP:0000138
0-0-GO:0001702-PATO:0000001-0-0-0	ZP:0000139
0-0-GO:0001702-PATO:0001507-0-0-0	ZP:0000140
0-0-GO:0009953-PATO:0001507-0-0-0	ZP:0000141
0-0-GO:0009957-PATO:0001507-0-0-0	ZP:0000142
0-0-GO:0036342-PATO:0001507-0-0-0	ZP:0000143
0-0-GO:0036342-PATO:0001561-0-0-GO:0036342	ZP:0000144
0-0-ZFA:0000077-PATO:0001922-0-0-0	ZP:0000145
0-0-ZFA:0000115-PATO:0000651-0-0-ZFA:0000115	ZP:0000146
0-0-ZFA:0000135-PATO:0000001-0-0-0	ZP:0000147
0-0-ZFA:0000135-PATO:0000600-0-0-0	ZP:0000148
0-0-ZFA:0000138-PATO:0000937-0-0-0	ZP:0000149
0-0-ZFA:0000138-PATO:0001483-0-0-0	ZP:0000150
0-0-ZFA:0000150-PATO:0000645-0-0-0	ZP:0000151
0-0-ZFA:0000155-PATO:0000411-0-0-0	ZP:0000152
0-0-ZFA:0000155-PATO:0000600-0-0-0	ZP:0000153
0-0-ZFA:0000255-PATO:0000051-0-0-0	ZP:0000154
0-0-ZFA:0000255-PATO:0002002-0-0-ZFA:0000003	ZP:0000155
BSPO:0000013-BFO:0000050-ZFA:0000255-PATO:0000574-0-0-0	ZP:0000156
BSPO:0000000-BFO:0000050-ZFA:0000823-PATO:0000642-BSPO:0000007-BFO:0000050-ZFA:0000823	ZP:0000157
0-0-ZFA:0000948-PATO:0000573-0-0-0	ZP:0000158
0-0-ZFA:0001094-PATO:0000052-0-0-0	ZP:0000159
0-0-ZFA:0001094-PATO:0000620-0-0-0	ZP:0000160
0-0-ZFA:0001094-PATO:0001891-0-0-0	ZP:0000161
0-0-ZFA:0001094-PATO:0002002-0-0-ZFA:0001117	ZP:0000162
0-0-ZFA:0001115-PATO:0001485-0-0-0	ZP:0000163
0-0-ZFA:0001115-PATO:0001787-0-0-0	ZP:0000164
0-0-ZFA:0001117-PATO:0001483-0-0-0	ZP:0000165
0-0-ZFA:0001117-PATO:0002002-0-0-ZFA:0000077	ZP:0000166
0-0-ZFA:0001117-PATO:0002002-0-0-ZFA:0000135	ZP:0000167
0-0-ZFA:0001135-PATO:0000051-0-0-0	ZP:0000168
0-0-ZFA:0001161-PATO:0000628-0-0-0	ZP:0000169
ZFA:0009248-BFO:0000050-ZFA:0007035-PATO:0000470-0-0-0	ZP:0000170
ZFA:0009248-BFO:0000050-ZFA:0007035-PATO:0001923-0-0-0	ZP:0000171
0-0-ZFA:0009044-PATO:0001997-0-0-0	ZP:0000172
0-0-ZFA:0009325-PATO:0000462-0-0-0	ZP:0000173
0-0-GO:0021534-PATO:0002052-0-0-0	ZP:0000174
0-0-GO:0021592-PATO:0001507-0-0-0	ZP:0000175
0-0-GO:0021854-PATO:0001236-0-0-0	ZP:0000176
0-0-GO:0030902-PATO:0001507-0-0-0	ZP:0000177
0-0-GO:0034653-PATO:0000911-0-0-0	ZP:0000178
0-0-GO:0048853-PATO:0001236-0-0-0	ZP:0000179
