Fish ID	Fish Name	Start Stage ID	Start Stage Name	End Stage ID	End Stage Name	Affected Structure or Process 1 subterm ID	Affected Structure or Process 1 subterm Name	Post-composed Relationship ID	Post-composed Relationship Name	Affected Structure or Process 1 superterm ID	Affected Structure or Process 1 superterm Name	Phenotype Keyword ID	Phenotype Keyword Name	Phenotype Tag	Affected Structure or Process 2 subterm ID	Affected Structure or Process 2 subterm name	Post-composed Relationship (rel) ID	Post-composed Relationship (rel) Name	Affected Structure or Process 2 superterm ID	Affected Structure or Process 2 superterm name	Publication ID	Environment ID	ZFIN EQ ID	IRI
ZDB-FISH-150901-10123	WT + MO1-inpp5d + MO4-inppl1a	ZDB-STAGE-010723-13	Pharyngula:Prim-25	ZDB-STAGE-010723-13	Pharyngula:Prim-25	ZFA:0009327	neutrophil	BFO:0000050	part_of	ZFA:0001094	whole organism	PATO:0001997	decreased amount	abnormal							ZDB-PUB-120905-23	ZDB-EXP-130311-1	ZFA:0009327-BFO:0000050-ZFA:0001094-PATO:0001997-0-0-0	ZP:0003758
ZDB-FISH-150901-10124	WT + MO2-ctnnd1	ZDB-STAGE-010723-23	Segmentation:1-4 somites	ZDB-STAGE-010723-23	Segmentation:1-4 somites	ZFA:0009000	cell	BFO:0000050	part_of	ZFA:0001094	whole organism	PATO:0001738	dissociated from	abnormal					ZFA:0000084	yolk	ZDB-PUB-120823-4	ZDB-EXP-130319-9	ZFA:0009000-BFO:0000050-ZFA:0001094-PATO:0001738-0-0-ZFA:0000084	ZP:0009483
ZDB-FISH-150901-10124	WT + MO2-ctnnd1	ZDB-STAGE-010723-6	Gastrula:50%-epiboly	ZDB-STAGE-010723-6	Gastrula:50%-epiboly	ZFA:0009000	cell	BFO:0000050	part_of	ZFA:0001094	whole organism	PATO:0001738	dissociated from	abnormal					ZFA:0000084	yolk	ZDB-PUB-120823-4	ZDB-EXP-130319-9	ZFA:0009000-BFO:0000050-ZFA:0001094-PATO:0001738-0-0-ZFA:0000084	ZP:0009483
ZDB-FISH-150901-10204	twu34Tg + MO1-axin1 + MO1-gsk3ab	ZDB-STAGE-010723-10	Pharyngula:Prim-5	ZDB-STAGE-010723-10	Pharyngula:Prim-5	ZFA:0009316	cardiac muscle cell	BFO:0000050	part_of	ZFA:0000114	heart	PATO:0000638	apoptotic	abnormal							ZDB-PUB-070813-14	ZDB-EXP-071220-3	ZFA:0009316-BFO:0000050-ZFA:0000114-PATO:0000638-0-0-0	ZP:0000361
ZDB-FISH-150901-10204	twu34Tg + MO1-axin1 + MO1-gsk3ab	ZDB-STAGE-010723-10	Pharyngula:Prim-5	ZDB-STAGE-010723-10	Pharyngula:Prim-5	ZFA:0009316	cardiac muscle cell	BFO:0000050	part_of	ZFA:0000114	heart	PATO:0001997	decreased amount	abnormal							ZDB-PUB-070813-14	ZDB-EXP-071220-3	ZFA:0009316-BFO:0000050-ZFA:0000114-PATO:0001997-0-0-0	ZP:0000362
ZDB-FISH-150901-10308	cdh2<sup>m117/m117</sup> + MO1-vangl2	ZDB-STAGE-010723-32	Pharyngula:Prim-15	ZDB-STAGE-010723-32	Pharyngula:Prim-15	ZFA:0000155	somite	BFO:0000050	part_of	ZFA:0001115	trunk	PATO:0000051	morphology	abnormal							ZDB-PUB-071210-3	ZDB-EXP-080710-4	ZFA:0000155-BFO:0000050-ZFA:0001115-PATO:0000051-0-0-0	ZP:0002565
ZDB-FISH-150901-10342	gau<sup>rk16/rk16</sup>	ZDB-STAGE-010723-36	Larval:Day 5	ZDB-STAGE-010723-36	Larval:Day 5	ZFA:0009071	Purkinje cell	BFO:0000050	part_of	ZFA:0000100	cerebellum	PATO:0001997	decreased amount	abnormal							ZDB-PUB-090422-9	ZDB-EXP-041102-1	ZFA:0009071-BFO:0000050-ZFA:0000100-PATO:0001997-0-0-0	ZP:0015623
ZDB-FISH-150901-10406	ddf<sup>tc289/tc289</sup>	ZDB-STAGE-010723-10	Pharyngula:Prim-5	ZDB-STAGE-010723-10	Pharyngula:Prim-5	ZFA:0009000	cell	BFO:0000050	part_of	ZFA:0000368	integument	PATO:0000411	circular	abnormal							ZDB-PUB-970210-21	ZDB-EXP-041102-1	ZFA:0009000-BFO:0000050-ZFA:0000368-PATO:0000411-0-0-0	ZP:0004720
ZDB-FISH-150901-10406	ddf<sup>tc289/tc289</sup>	ZDB-STAGE-010723-9	Hatching:Long-pec	ZDB-STAGE-010723-9	Hatching:Long-pec	ZFA:0009000	cell	BFO:0000050	part_of	ZFA:0000368	integument	PATO:0000411	circular	abnormal							ZDB-PUB-970210-21	ZDB-EXP-041102-1	ZFA:0009000-BFO:0000050-ZFA:0000368-PATO:0000411-0-0-0	ZP:0004720
ZDB-FISH-150901-10507	hdac1<sup>hi1618Tg/hi1618Tg</sup>(AB)	ZDB-STAGE-010723-9	Hatching:Long-pec	ZDB-STAGE-010723-9	Hatching:Long-pec	ZFA:0009000	cell	BFO:0000050	part_of	ZFA:0000152	retina	PATO:0000638	apoptotic	abnormal							ZDB-PUB-130610-75	ZDB-EXP-041102-1	ZFA:0009000-BFO:0000050-ZFA:0000152-PATO:0000638-0-0-0	ZP:0002343
