defined_class	entity	entitytowards	quality
http://purl.obolibrary.org/obo/ZP_0019379	http://purl.obolibrary.org/obo/ZFA_0005857	http://purl.obolibrary.org/obo/ZFA_0000123	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0012320	http://purl.obolibrary.org/obo/ZFA_0009044	http://purl.obolibrary.org/obo/ZFA_0000173	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0022907	http://purl.obolibrary.org/obo/ZFA_0009044	http://purl.obolibrary.org/obo/ZFA_0000114	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0018232	http://purl.obolibrary.org/obo/ZFA_0009044	http://purl.obolibrary.org/obo/ZFA_0000154	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0019795	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000088	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0017157	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000471	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0000709	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001079	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0011945	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000009	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0016752	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001058	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0016750	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000180	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0010788	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001286	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0016751	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0005297	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0006637	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001267	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0020085	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000106	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0011258	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001114	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0004334	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000114	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0018158	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000029	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0016753	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001161	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0016754	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001184	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0021533	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001655	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0005930	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000054	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0011259	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001117	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0009539	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000154	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0000710	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0001115	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0006638	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0005024	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0005821	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/ZFA_0000084	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0024237	http://purl.obolibrary.org/obo/ZFA_0001058	http://purl.obolibrary.org/obo/ZFA_0000007	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0017380	http://purl.obolibrary.org/obo/ZFA_0009000	http://purl.obolibrary.org/obo/ZFA_0001058	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0012158	http://purl.obolibrary.org/obo/ZFA_0009000	http://purl.obolibrary.org/obo/ZFA_0001259	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0006149	http://purl.obolibrary.org/obo/ZFA_0000329	http://purl.obolibrary.org/obo/ZFA_0009158	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0024020	http://purl.obolibrary.org/obo/ZFA_0009392	http://purl.obolibrary.org/obo/ZFA_0000123	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0012029	http://purl.obolibrary.org/obo/ZFA_0000206	http://purl.obolibrary.org/obo/ZFA_0001032	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0023013	http://purl.obolibrary.org/obo/ZFA_0009026	http://purl.obolibrary.org/obo/ZFA_0005057	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0018774	http://purl.obolibrary.org/obo/ZFA_0009309	http://purl.obolibrary.org/obo/ZFA_0000008	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0024391	http://purl.obolibrary.org/obo/ZFA_0009309	http://purl.obolibrary.org/obo/ZFA_0001620	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0025000	http://purl.obolibrary.org/obo/ZFA_0009141	http://purl.obolibrary.org/obo/ZFA_0000029	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0023831	http://purl.obolibrary.org/obo/ZFA_0009141	http://purl.obolibrary.org/obo/ZFA_0000036	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0025001	http://purl.obolibrary.org/obo/ZFA_0009141	http://purl.obolibrary.org/obo/ZFA_0000076	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0011048	http://purl.obolibrary.org/obo/ZFA_0009138	http://purl.obolibrary.org/obo/ZFA_0000038	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0008944	http://purl.obolibrary.org/obo/ZFA_0005242	http://purl.obolibrary.org/obo/ZFA_0000150	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0024373	http://purl.obolibrary.org/obo/ZFA_0009324	http://purl.obolibrary.org/obo/ZFA_0000180	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0019194	http://purl.obolibrary.org/obo/ZFA_0009356	http://purl.obolibrary.org/obo/ZFA_0005029	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0012318	http://purl.obolibrary.org/obo/ZFA_0000045	http://purl.obolibrary.org/obo/ZFA_0000092	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0025809	http://purl.obolibrary.org/obo/ZFA_0009327	http://purl.obolibrary.org/obo/ZFA_0000008	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0025417	http://purl.obolibrary.org/obo/ZFA_0009327	http://purl.obolibrary.org/obo/ZFA_0000029	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0023832	http://purl.obolibrary.org/obo/ZFA_0009327	http://purl.obolibrary.org/obo/ZFA_0000036	http://purl.obolibrary.org/obo/PATO_0002269
http://purl.obolibrary.org/obo/ZP_0024919	http://purl.obolibrary.org/obo/ZFA_0009327	http://purl.obolibrary.org/obo/ZFA_0001117	http://purl.obolibrary.org/obo/PATO_0002269
