defined_class	anatomical_entity
ZP:0107293	http://purl.obolibrary.org/obo/ZFA_0000823
ZP:0107294	http://purl.obolibrary.org/obo/ZFA_0001064
ZP:0107295	http://purl.obolibrary.org/obo/ZFA_0000093
ZP:0107296	http://purl.obolibrary.org/obo/ZFA_0009000
ZP:0107297	http://purl.obolibrary.org/obo/ZFA_0000354
ZP:0107298	http://purl.obolibrary.org/obo/ZFA_0000496
ZP:0107299	http://purl.obolibrary.org/obo/ZFA_0001477
ZP:0107300	http://purl.obolibrary.org/obo/ZFA_0000126
ZP:0107301	http://purl.obolibrary.org/obo/ZFA_0000037
ZP:0107302	http://purl.obolibrary.org/obo/ZFA_0000396
ZP:0107303	http://purl.obolibrary.org/obo/ZFA_0009010
ZP:0107304	http://purl.obolibrary.org/obo/ZFA_0000005
ZP:0107305	http://purl.obolibrary.org/obo/ZFA_0005314
ZP:0107306	http://purl.obolibrary.org/obo/ZFA_0000687
ZP:0107307	http://purl.obolibrary.org/obo/ZFA_0001488
ZP:0107308	http://purl.obolibrary.org/obo/ZFA_0000445
ZP:0107309	http://purl.obolibrary.org/obo/ZFA_0001689
ZP:0107310	http://purl.obolibrary.org/obo/ZFA_0007016
ZP:0107311	http://purl.obolibrary.org/obo/ZFA_0100000
ZP:0107312	http://purl.obolibrary.org/obo/ZFA_0001368
ZP:0107313	http://purl.obolibrary.org/obo/ZFA_0001041
ZP:0107314	http://purl.obolibrary.org/obo/ZFA_0001080
ZP:0107315	http://purl.obolibrary.org/obo/ZFA_0001580
ZP:0107316	http://purl.obolibrary.org/obo/ZFA_0001478
ZP:0107317	http://purl.obolibrary.org/obo/ZFA_0000924
ZP:0107318	http://purl.obolibrary.org/obo/ZFA_0001056
ZP:0107319	http://purl.obolibrary.org/obo/ZFA_0005323
ZP:0107320	http://purl.obolibrary.org/obo/ZFA_0009034
ZP:0107321	http://purl.obolibrary.org/obo/ZFA_0000368
ZP:0107322	http://purl.obolibrary.org/obo/ZFA_0000641
ZP:0107323	http://purl.obolibrary.org/obo/ZFA_0001479
ZP:0107324	http://purl.obolibrary.org/obo/ZFA_0007009
ZP:0107325	http://purl.obolibrary.org/obo/ZFA_0001471
ZP:0107326	http://purl.obolibrary.org/obo/ZFA_0009165
ZP:0107327	http://purl.obolibrary.org/obo/ZFA_0007089
ZP:0107328	http://purl.obolibrary.org/obo/ZFA_0001058
