affected_entity_1_sub	affected_entity_1_super	defined_class	pato_id
CHEBI:50113	ZFA:0000007	ZP:0022840	PATO:0001997
CHEBI:27027	ZFA:0000046	ZP:0101984	PATO:0002050
CHEBI:37845	ZFA:0005654	ZP:0103397	PATO:0001997
CHEBI:50114	ZFA:0000303	ZP:0103547	PATO:0001997
CHEBI:25512	ZFA:0000008	ZP:0137895	PATO:0002050
CHEBI:25512	ZFA:0001115	ZP:0137896	PATO:0001997
CHEBI:33290	ZFA:0005807	ZP:0141170	PATO:0001997
CHEBI:60311	ZFA:0001094	ZP:0141980	PATO:0000470
CHEBI:33290	ZFA:0005807	ZP:0142015	PATO:0000470
CHEBI:25512	ZFA:0000008	ZP:0145538	PATO:0000070
CHEBI:25512	ZFA:0009243	ZP:0145637	PATO:0000628
