affected_entity_1_super	affected_entity_2_sub	affected_entity_2_super	defined_class	pato_id
ZFA:0000046	BSPO:0000084	ZFA:0000143	ZP:0000037	PATO:0002000
ZFA:0000114	BSPO:0000017	ZFA:0001094	ZP:0000466	PATO:0000133
ZFA:0000114	BSPO:0000075	ZFA:0001094	ZP:0000467	PATO:0001653
ZFA:0000360	BSPO:0000075	ZFA:0001094	ZP:0000468	PATO:0001653
ZFA:0001338	BSPO:0000017	ZFA:0001094	ZP:0000471	PATO:0000133
ZFA:0000115	GO:0031012	ZFA:0000115	ZP:0001243	PATO:0001999
ZFA:0000115	GO:0031012	ZFA:0000115	ZP:0001244	PATO:0002001
ZFA:0009256	GO:0005833	ZFA:0009256	ZP:0001313	PATO:0002000
ZFA:0009150	ZFA:0000092	ZFA:0000075	ZP:0001385	PATO:0002168
ZFA:0009165	BSPO:0000682	ZFA:0000075	ZP:0001386	PATO:0002168
ZFA:0005277	GO:0005583	ZFA:0009115	ZP:0001515	PATO:0002270
ZFA:0000671	GO:0030424	ZFA:0005180	ZP:0001730	PATO:0001999
ZFA:0000671	GO:0030424	ZFA:0009052	ZP:0001731	PATO:0001999
ZFA:0001094	ZFA:0009248	ZFA:0001576	ZP:0001960	PATO:0002000
ZFA:0000152	ZFA:0009000	ZFA:0000152	ZP:0002397	PATO:0002001
ZFA:0000152	GO:0005813	ZFA:0009000	ZP:0002398	PATO:0001999
ZFA:0001205	BSPO:0000013	ZFA:0001094	ZP:0002632	PATO:0002327
ZFA:0009165	GO:0030175	ZFA:0009165	ZP:0002796	PATO:0001999
ZFA:0000135	GO:0005791	ZFA:0009000	ZP:0003034	PATO:0001999
ZFA:0000001	GO:0005929	ZFA:0009034	ZP:0003179	PATO:0002001
ZFA:0009000	GO:0030175	ZFA:0009000	ZP:0003217	PATO:0001999
ZFA:0009052	GO:0030424	ZFA:0009052	ZP:0003772	PATO:0001999
ZFA:0009243	GO:0030175	ZFA:0009243	ZP:0003821	PATO:0002001
ZFA:0009243	GO:0043005	ZFA:0009244	ZP:0003822	PATO:0002001
ZFA:0000093	BSPO:0000079	ZFA:0001176	ZP:0004037	PATO:0002168
ZFA:0005286	GO:0042995	ZFA:0001673	ZP:0004145	PATO:0001772
ZFA:0009256	BSPO:0000005	ZFA:0000084	ZP:0004184	PATO:0002270
ZFA:0009138	GO:0032059	ZFA:0009138	ZP:0004271	PATO:0002002
ZFA:0001094	GO:0005833	ZFA:0009256	ZP:0004572	PATO:0001999
ZFA:0000086	GO:0005923	ZFA:0000086	ZP:0005335	PATO:0001999
ZFA:0009288	GO:0032059	ZFA:0009288	ZP:0005347	PATO:0002000
ZFA:0000001	GO:0005879	ZFA:0009032	ZP:0005421	PATO:0002083
ZFA:0009367	GO:0032420	ZFA:0009367	ZP:0005449	PATO:0002001
ZFA:0009367	GO:0060091	ZFA:0009367	ZP:0005450	PATO:0002001
ZFA:0000075	GO:0043005	ZFA:0009052	ZP:0005598	PATO:0002000
ZFA:0001094	GO:0043005	ZFA:0000200	ZP:0005605	PATO:0002000
ZFA:0009117	GO:0005634	ZFA:0009117	ZP:0005689	PATO:0002001
ZFA:0005179	GO:0030424	ZFA:0005179	ZP:0005750	PATO:0001999
ZFA:0000112	BSPO:0000017	ZFA:0001094	ZP:0005825	PATO:0000133
ZFA:0001330	GO:0045202	ZFA:0009248	ZP:0005997	PATO:0002001
ZFA:0000151	GO:0005902	ZFA:0009034	ZP:0006080	PATO:0001999
ZFA:0005169	GO:0031982	ZFA:0005169	ZP:0006115	PATO:0002270
ZFA:0009255	GO:0045202	ZFA:0009255	ZP:0006433	PATO:0001905
ZFA:0009238	GO:0043005	ZFA:0009238	ZP:0006496	PATO:0002002
ZFA:0000001	GO:0031514	ZFA:0000001	ZP:0007033	PATO:0001999
ZFA:0000115	BSPO:0000007	ZFA:0001094	ZP:0007041	PATO:0002168
