defined_class	affected_entity_1_super	pato_id
ZP:0100000	GO:0035476	PATO:0000460
ZP:0100001	GO:0001525	PATO:0000460
ZP:0100002	ZFA:0005604	PATO:0000460
ZP:0100003	ZFA:0001108	PATO:0000460
ZP:0100004	GO:0021960	PATO:0000460
ZP:0100005	GO:0007155	PATO:0000460
ZP:0100006	ZFA:0001458	PATO:0000460
ZP:0100007	GO:0048589	PATO:0000460
ZP:0100008	GO:0040016	PATO:0000460
ZP:0100009	ZFA:0000107	PATO:0000460
ZP:0100010	ZFA:0000110	PATO:0000460
ZP:0100011	GO:0021592	PATO:0000460
ZP:0100012	ZFA:0001114	PATO:0000460
ZP:0100013	ZFA:0000114	PATO:0000460
ZP:0100014	GO:0060047	PATO:0000460
ZP:0100015	GO:0001947	PATO:0000460
ZP:0100016	ZFA:0001285	PATO:0000460
ZP:0100017	GO:0008345	PATO:0000460
ZP:0100018	ZFA:0001469	PATO:0000460
ZP:0100019	GO:0007638	PATO:0000460
ZP:0100020	GO:0007528	PATO:0000460
ZP:0100021	GO:0050885	PATO:0000460
ZP:0100022	GO:0007274	PATO:0000460
ZP:0100023	GO:0048709	PATO:0000460
ZP:0100024	ZFA:0000137	PATO:0000460
ZP:0100025	ZFA:0001460	PATO:0000460
ZP:0100026	GO:1900107	PATO:0000460
ZP:0100027	ZFA:0000152	PATO:0000460
ZP:0100028	ZFA:0000119	PATO:0000460
ZP:0100029	GO:0021654	PATO:0000460
ZP:0100030	GO:0001964	PATO:0000460
ZP:0100031	ZFA:0005035	PATO:0000460
ZP:0100032	ZFA:0000690	PATO:0000460
ZP:0100033	GO:0007004	PATO:0000460
ZP:0100034	GO:0001966	PATO:0000460
ZP:0100035	ZFA:0005110	PATO:0000460
ZP:0100036	GO:0014720	PATO:0000460
ZP:0100037	ZFA:0005249	PATO:0000460
ZP:0100038	ZFA:0001462	PATO:0000070
ZP:0100039	ZFA:0005182	PATO:0000070
ZP:0100040	GO:0000046	PATO:0000297
