defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id
http://purl.obolibrary.org/obo/ZP_0125112	GO:0061337	ZFA:0000471	PATO:0002472
http://purl.obolibrary.org/obo/ZP_0125113	GO:0009612	ZFA:0005240	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125114	GO:0001957	ZFA:0000561	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125115	GO:0008045	ZFA:0001115	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125116	GO:0002283	ZFA:0000135	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125117	GO:0032060	ZFA:0009052	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125118	GO:0031099	ZFA:0009111	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125119	GO:0001755	ZFA:0001114	PATO:0000502
http://purl.obolibrary.org/obo/ZP_0125120	GO:0031290	ZFA:0009310	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125121	GO:0006915	ZFA:0000107	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125122	GO:0006915	ZFA:0000008	PATO:0000057
http://purl.obolibrary.org/obo/ZP_0125123	GO:0030282	ZFA:0001058	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125124	GO:0060234	ZFA:0000051	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125125	GO:0001837	ZFA:0000051	PATO:0002052
http://purl.obolibrary.org/obo/ZP_0125126	GO:0000278	ZFA:0000152	PATO:0002304
http://purl.obolibrary.org/obo/ZP_0125127	GO:0035889	ZFA:0000051	PATO:0001236
http://purl.obolibrary.org/obo/ZP_0125128	GO:0000278	ZFA:0009000	PATO:0001997
http://purl.obolibrary.org/obo/ZP_0125129	GO:0000278	ZFA:0009256	PATO:0000498
http://purl.obolibrary.org/obo/ZP_0125130	GO:0043473	ZFA:0001135	PATO:0002051
http://purl.obolibrary.org/obo/ZP_0125131	GO:0016079	ZFA:0009243	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125132	GO:0008283	ZFA:0000119	PATO:0002304
http://purl.obolibrary.org/obo/ZP_0125133	GO:0001525	ZFA:0001269	PATO:0002302
http://purl.obolibrary.org/obo/ZP_0125134	GO:0008015	ZFA:0001114	PATO:0000462
http://purl.obolibrary.org/obo/ZP_0125135	GO:0008015	ZFA:0001115	PATO:0000462
