defined_class	affected_entity_1_super	pato_id	affected_entity_2_super
ZP:0003448	ZFA:0000940	PATO:0002001	ZFA:0009367
ZP:0014191	ZFA:0000217	PATO:0001905	ZFA:0001617
ZP:0009494	ZFA:0000462	PATO:0001999	ZFA:0009115
ZP:0003492	ZFA:0005221	PATO:0002002	ZFA:0009199
ZP:0014111	ZFA:0000539	PATO:0001905	ZFA:0009301
ZP:0014109	ZFA:0000418	PATO:0001905	ZFA:0009301
ZP:0007276	ZFA:0000604	PATO:0002001	ZFA:0009181
ZP:0007280	ZFA:0001261	PATO:0002270	ZFA:0000007
ZP:0020542	GO:0000278	PATO:0002002	GO:0000280
ZP:0014067	ZFA:0001365	PATO:0002259	ZFA:0001365
ZP:0009389	ZFA:0000598	PATO:0002270	ZFA:0009288
ZP:0017015	ZFA:0001189	PATO:0002002	ZFA:0000519
ZP:0017016	ZFA:0001189	PATO:0002002	ZFA:0001066
ZP:0009367	ZFA:0001094	PATO:0002000	ZFA:0005025
ZP:0017042	ZFA:0000014	PATO:0002001	ZFA:0009065
ZP:0017043	ZFA:0001285	PATO:0002001	ZFA:0009065
ZP:0017044	ZFA:0005025	PATO:0002001	ZFA:0009065
ZP:0017045	ZFA:0000011	PATO:0002001	ZFA:0009065
ZP:0017046	ZFA:0001286	PATO:0002001	ZFA:0009065
ZP:0017048	ZFA:0001114	PATO:0002001	ZFA:0009010
ZP:0009348	ZFA:0001400	PATO:0000133	ZFA:0000092
ZP:0017055	ZFA:0009256	PATO:0002269	ZFA:0001115
ZP:0017057	ZFA:0000140	PATO:0002002	ZFA:0005756
ZP:0009316	ZFA:0000084	PATO:0001646	ZFA:0000006
ZP:0012054	ZFA:0000029	PATO:0002001	ZFA:0009076
ZP:0017084	ZFA:0000477	PATO:0002002	ZFA:0009014
ZP:0017085	ZFA:0005028	PATO:0002002	ZFA:0009014
ZP:0017088	ZFA:0000200	PATO:0001905	ZFA:0009248
ZP:0009307	ZFA:0001682	PATO:0001999	ZFA:0001657
ZP:0009302	ZFA:0001094	PATO:0001999	ZFA:0001365
ZP:0009301	ZFA:0001094	PATO:0001999	ZFA:0000697
ZP:0009300	ZFA:0001094	PATO:0001999	ZFA:0000664
ZP:0009672	ZFA:0005249	PATO:0001999	ZFA:0001285
ZP:0012886	ZFA:0000368	PATO:0001905	ZFA:0005327
ZP:0012879	ZFA:0001056	PATO:0001905	ZFA:0009116
ZP:0020422	ZFA:0005621	PATO:0001772	ZFA:0000135
ZP:0012813	ZFA:0005002	PATO:0001453	ZFA:0001052
ZP:0014361	ZFA:0000360	PATO:0001793	ZFA:0000092
ZP:0020615	ZFA:0000107	PATO:0002000	ZFA:0009199
ZP:0002586	ZFA:0000633	PATO:0002001	ZFA:0009301
ZP:0009299	ZFA:0001094	PATO:0001999	ZFA:0000453
ZP:0009298	ZFA:0001094	PATO:0001999	ZFA:0000387
ZP:0009297	ZFA:0001094	PATO:0001999	ZFA:0000206
ZP:0009296	ZFA:0000597	PATO:0001999	ZFA:0001108
ZP:0009295	ZFA:0000338	PATO:0001999	ZFA:0000059
ZP:0002559	ZFA:0000949	PATO:0002000	ZFA:0005731
ZP:0017115	ZFA:0005284	PATO:0000642	ZFA:0005284
ZP:0017116	ZFA:0009285	PATO:0001667	ZFA:0001557
ZP:0009279	ZFA:0000471	PATO:0002001	ZFA:0001614
ZP:0017140	ZFA:0001389	PATO:0001505	ZFA:0001389
ZP:0017144	ZFA:0001205	PATO:0002327	ZFA:0001405
ZP:0017157	ZFA:0000007	PATO:0002269	ZFA:0000471
ZP:0017187	ZFA:0000119	PATO:0002000	ZFA:0009280
ZP:0021011	ZFA:0001094	PATO:0002002	ZFA:0009150
ZP:0012788	ZFA:0009099	PATO:0002261	ZFA:0001346
ZP:0012787	ZFA:0009099	PATO:0002261	ZFA:0001345
ZP:0012766	ZFA:0000117	PATO:0002002	ZFA:0009139
ZP:0012739	ZFA:0000558	PATO:0002001	ZFA:0009366
ZP:0012737	ZFA:0001094	PATO:0002083	ZFA:0009000
ZP:0012736	ZFA:0001094	PATO:0002002	ZFA:0009000
ZP:0012735	ZFA:0001094	PATO:0002001	ZFA:0009000
ZP:0012733	ZFA:0000558	PATO:0002002	ZFA:0009366
ZP:0012732	ZFA:0000386	PATO:0002259	ZFA:0000386
ZP:0012731	ZFA:0000140	PATO:0001792	ZFA:0000112
ZP:0012730	ZFA:0000123	PATO:0001793	ZFA:0000112
ZP:0017582	ZFA:0000008	PATO:0001999	ZFA:0009076
ZP:0012713	ZFA:0000140	PATO:0001999	ZFA:0005739
ZP:0012711	ZFA:0000051	PATO:0002000	ZFA:0005565
ZP:0002474	ZFA:0001205	PATO:0001652	ZFA:0001399
ZP:0022938	ZFA:0009256	PATO:0002269	ZFA:0000471
ZP:0022937	ZFA:0009256	PATO:0002269	ZFA:0000009
ZP:0002469	ZFA:0000154	PATO:0002270	ZFA:0000007
ZP:0017204	ZFA:0001094	PATO:0002000	ZFA:0005579
ZP:0022912	ZFA:0000029	PATO:0001555	ZFA:0009149
ZP:0017222	ZFA:0009115	PATO:0000133	ZFA:0009115
ZP:0009168	ZFA:0000204	PATO:0001999	ZFA:0009115
ZP:0017237	ZFA:0005222	PATO:0001905	ZFA:0009091
