defined_class	affected_entity_1_sub	affected_entity_1_super	pato_id	affected_entity_2_sub	affected_entity_2_super
ZP:0000157	BSPO:0000000	ZFA:0000823	PATO:0000642	BSPO:0000007	ZFA:0000823
ZP:0000680	BSPO:0000000	ZFA:0000028	PATO:0000651	BSPO:0000007	ZFA:0000028
ZP:0000972	ZFA:0009053	ZFA:0000295	PATO:0002002	GO:0048786	ZFA:0009053
ZP:0000981	GO:0030424	ZFA:0009301	PATO:0002259	BSPO:0000013	ZFA:0000029
ZP:0000982	GO:0030424	ZFA:0009301	PATO:0002259	BSPO:0000013	ZFA:0000075
ZP:0000983	GO:0030424	ZFA:0009301	PATO:0002259	ZFA:0000092	ZFA:0000075
ZP:0000988	GO:0030424	ZFA:0009310	PATO:0002168	BSPO:0000084	ZFA:0000101
ZP:0000989	GO:0030424	ZFA:0009310	PATO:0002168	BSPO:0000060	ZFA:0000107
ZP:0001367	GO:0014069	ZFA:0000175	PATO:0001505	GO:0048788	ZFA:0009367
ZP:0001814	ZFA:0009032	ZFA:0000001	PATO:0002448	BSPO:0000071	ZFA:0000001
ZP:0001816	ZFA:0009032	ZFA:0000022	PATO:0002448	BSPO:0000071	ZFA:0000022
ZP:0001821	ZFA:0009032	ZFA:0000150	PATO:0002448	BSPO:0000071	ZFA:0000150
ZP:0001836	ZFA:0009000	ZFA:0001670	PATO:0001505	ZFA:0009000	ZFA:0001670
ZP:0002024	GO:0030175	ZFA:0009139	PATO:0000133	BSPO:0000016	ZFA:0001094
ZP:0002238	ZFA:0009038	ZFA:0000161	PATO:0001531	ZFA:0009038	ZFA:0000161
ZP:0002371	BSPO:0000055	ZFA:0001205	PATO:0000375	BSPO:0000056	ZFA:0001400
ZP:0002573	GO:0072686	ZFA:0009032	PATO:0002327	BSPO:0000014	ZFA:0000151
ZP:0002576	ZFA:0009000	ZFA:0000150	PATO:0001453	ZFA:0005313	ZFA:0000151
ZP:0002650	GO:0005886	ZFA:0001558	PATO:0000374	GO:0005886	ZFA:0001558
ZP:0002655	GO:0005886	ZFA:0005123	PATO:0000374	GO:0005886	ZFA:0005123
ZP:0002959	ZFA:0009114	ZFA:0001056	PATO:0001453	GO:0005927	ZFA:0001056
ZP:0002976	GO:0042383	ZFA:0009115	PATO:0001505	GO:0042383	ZFA:0009115
ZP:0003049	GO:0031514	ZFA:0000150	PATO:0002001	GO:0036156	ZFA:0000150
ZP:0003050	GO:0031514	ZFA:0000150	PATO:0002001	GO:0036157	ZFA:0000150
ZP:0003363	ZFA:0009000	ZFA:0000135	PATO:0000374	ZFA:0009000	ZFA:0000135
ZP:0003393	GO:0005634	ZFA:0001094	PATO:0001667	GO:0005634	ZFA:0001094
ZP:0003510	BSPO:0000071	ZFA:0005124	PATO:0002001	GO:0005902	ZFA:0009034
ZP:0003577	BSPO:0000067	ZFA:0000150	PATO:0000642	BSPO:0000067	ZFA:0000150
ZP:0003687	BSPO:0000036	ZFA:0001094	PATO:0002327	BSPO:0000037	ZFA:0001094
ZP:0004380	GO:0030016	ZFA:0001056	PATO:0001453	GO:0030016	ZFA:0001056
ZP:0004394	ZFA:0009036	ZFA:0001285	PATO:0001531	ZFA:0009036	ZFA:0001285
ZP:0005005	GO:0030424	ZFA:0009310	PATO:0002168	BSPO:0000065	ZFA:0000107
ZP:0005107	GO:0030016	ZFA:0005145	PATO:0001654	GO:0030016	ZFA:0005145
ZP:0005109	GO:0030315	ZFA:0005145	PATO:0001654	GO:0030315	ZFA:0005145
ZP:0005112	GO:0031410	ZFA:0009114	PATO:0002269	GO:0042383	ZFA:0005145
ZP:0005249	ZFA:0009165	ZFA:0001613	PATO:0000642	ZFA:0009165	ZFA:0001613
ZP:0005716	GO:0030016	ZFA:0000155	PATO:0001654	GO:0030016	ZFA:0000155
ZP:0005855	ZFA:0009000	ZFA:0005023	PATO:0002269	BSPO:0000071	ZFA:0000006
ZP:0005871	ZFA:0000003	ZFA:0000255	PATO:0000374	ZFA:0000003	ZFA:0000255
ZP:0006199	BSPO:0000084	ZFA:0001205	PATO:0000642	BSPO:0000079	ZFA:0001399
ZP:0006200	BSPO:0000079	ZFA:0001422	PATO:0000642	BSPO:0000084	ZFA:0001400
ZP:0006244	GO:0030018	ZFA:0005145	PATO:0001654	GO:0030018	ZFA:0005145
ZP:0006351	GO:0005773	ZFA:0009084	PATO:0002270	GO:0005737	ZFA:0009084
ZP:0006435	GO:0030425	ZFA:0009255	PATO:0002001	GO:0044307	ZFA:0009255
ZP:0006920	BSPO:0000037	ZFA:0000217	PATO:0000374	BSPO:0000036	ZFA:0000150
ZP:0007037	GO:0031514	ZFA:0000001	PATO:0001999	GO:0097540	ZFA:0000001
