Ontology ID	Label	Obsolete	ZFIN Annotation	Replaced
ID	A rdfs:label	AT owl:deprecated^^xsd:boolean	AT rdfs:comment^^xsd:string	AI IAO:0100001
http://purl.obolibrary.org/obo/ZP_0000001	"obsolete zebrafish anatomical entity quality, abnormal"	true	0-0-ZFA:0100000-PATO:0000001-0-0-0	
http://purl.obolibrary.org/obo/ZP_0000278	"obsolete symmetric radial glial cell division in forebrain increased occurrence, abnormal"	true	0-0-GO:0021865-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0000281	"obsolete oligodendrocyte differentiation abnormal, abnormal"	true	0-0-GO:0048709-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0000771	"obsolete embryonic cleavage abnormal, abnormal"	true	0-0-GO:0040016-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0000773	"obsolete regulation of nodal signaling pathway abnormal, abnormal"	true	0-0-GO:1900107-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0000964	"obsolete anterior commissure morphogenesis abnormal, abnormal"	true	0-0-GO:0021960-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0001271	"obsolete retinal inner nuclear layer abnormal, abnormal"	true	0-0-ZFA:0000119-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0001467	"obsolete thigmotaxis abnormal, abnormal"	true	0-0-GO:0001966-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0001468	"obsolete mechanosensory behavior abnormal, abnormal"	true	0-0-GO:0007638-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0001752	"obsolete GO:0007067 process quality, abnormal"	true	0-0-GO:0007067-PATO:0001236-0-0-0	
http://purl.obolibrary.org/obo/ZP_0001844	"obsolete GO:0042384 increased occurrence, abnormal"	true	0-0-GO:0042384-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0002375	"obsolete extracellular matrix component cranial cartilage spatial pattern, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0002483	"obsolete death increased occurrence, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0002892	"obsolete GO:0043206 disrupted, abnormal"	true	0-0-GO:0043206-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0002924	"obsolete GO:0042384 process quality, abnormal"	true	0-0-GO:0042384-PATO:0001236-0-0-0	
http://purl.obolibrary.org/obo/ZP_0002983	"obsolete GO:0042384 decreased process quality, abnormal"	true	0-0-GO:0042384-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003201	"obsolete GO:0007067 increased occurrence, abnormal"	true	0-0-GO:0007067-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003452	"obsolete protein serine/threonine kinase activity brain increased occurrence, abnormal"	true	GO:0004674-BFO:0000050-ZFA:0000008-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003453	"obsolete protein serine/threonine kinase activity spinal cord increased occurrence, abnormal"	true	GO:0004674-BFO:0000050-ZFA:0000075-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003455	"obsolete protein serine/threonine kinase activity eye increased occurrence, abnormal"	true	GO:0004674-BFO:0000050-ZFA:0000107-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003456	"obsolete protein serine/threonine kinase activity liver increased occurrence, abnormal"	true	GO:0004674-BFO:0000050-ZFA:0000123-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003461	"obsolete protein serine/threonine kinase activity kidney increased occurrence, abnormal"	true	GO:0004674-BFO:0000050-ZFA:0000529-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003464	"obsolete protein serine/threonine kinase activity intestine increased occurrence, abnormal"	true	GO:0004674-BFO:0000050-ZFA:0001338-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003590	"obsolete GO:0000046 arrested, abnormal"	true	0-0-GO:0000046-PATO:0000297-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003633	"obsolete GO:0007067 arrested, abnormal"	true	0-0-GO:0007067-PATO:0000297-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003653	"obsolete cell adhesion abnormal, abnormal"	true	0-0-GO:0007155-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003672	"obsolete angiogenesis abnormal, abnormal"	true	0-0-GO:0001525-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003681	"obsolete angiogenic sprout abnormal, abnormal"	true	0-0-ZFA:0005604-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0003698	"obsolete cytoplasmic part oocyte stage II mislocalised, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0004080	"obsolete GO:0042384 disrupted, abnormal"	true	0-0-GO:0042384-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0004391	"obsolete GO:0016337 disrupted, abnormal"	true	0-0-GO:0016337-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0004479	"obsolete GO:0043206 decreased process quality, abnormal"	true	0-0-GO:0043206-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0004489	"obsolete intersegmental vessel abnormal, abnormal"	true	0-0-ZFA:0001285-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0004583	"obsolete lateral line abnormal, abnormal"	true	0-0-ZFA:0001469-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0004731	"obsolete lamina lucida epidermis morphology, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0004732	"obsolete lamina lucida epidermis absent, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0005476	"obsolete GO:0090002 disrupted, abnormal"	true	0-0-GO:0090002-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0005643	"obsolete fin fold actinotrichium malformed, abnormal"	true	0-0-ZFA:0000089-PATO:0000646-0-0-0	
http://purl.obolibrary.org/obo/ZP_0005724	"obsolete GO:0008105 disrupted, abnormal"	true	0-0-GO:0008105-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0005759	"obsolete neuromuscular synaptic transmission abnormal, abnormal"	true	0-0-GO:0007274-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0005761	"obsolete neuromuscular junction development abnormal, abnormal"	true	0-0-GO:0007528-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0005762	"obsolete larval locomotory behavior abnormal, abnormal"	true	0-0-GO:0008345-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0005795	"obsolete GO:0015992 disrupted, abnormal"	true	0-0-GO:0015992-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0005961	"obsolete embryo development ending in birth or egg hatching disrupted, abnormal"	true	0-0-GO:0009792-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0006588	"obsolete GO:0007067 decreased occurrence, abnormal"	true	0-0-GO:0007067-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0006793	"obsolete startle response abnormal, abnormal"	true	0-0-GO:0001964-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0006795	"obsolete tonic skeletal muscle contraction abnormal, abnormal"	true	0-0-GO:0014720-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0006810	"obsolete GO:0007067 increased duration, abnormal"	true	0-0-GO:0007067-PATO:0000498-0-0-0	
http://purl.obolibrary.org/obo/ZP_0006812	"obsolete spindle pole body duplication decreased occurrence, abnormal"	true	0-0-GO:0030474-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0006813	"obsolete developmental growth abnormal, abnormal"	true	0-0-GO:0048589-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0006886	"obsolete retina abnormal, abnormal"	true	0-0-ZFA:0000152-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0007778	"obsolete death premature, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0007907	"obsolete neuromuscular process controlling balance abnormal, abnormal"	true	0-0-GO:0050885-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0007925	"obsolete heart contraction abnormal, abnormal"	true	0-0-GO:0060047-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0008101	"obsolete heart looping abnormal, abnormal"	true	0-0-GO:0001947-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0008109	"obsolete death increased rate, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0008271	"obsolete eye abnormal, abnormal"	true	0-0-ZFA:0000107-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0008276	"obsolete head abnormal, abnormal"	true	0-0-ZFA:0001114-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0008578	"obsolete GO:0016337 decreased process quality, abnormal"	true	0-0-GO:0016337-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0008616	"obsolete GO:0040023 disrupted, abnormal"	true	0-0-GO:0040023-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0008731	"obsolete laminin binding whole organism decreased occurrence, abnormal"	true	GO:0043236-BFO:0000050-ZFA:0001094-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009019	"obsolete telomere maintenance via telomerase abnormal, abnormal"	true	0-0-GO:0007004-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009161	"obsolete sarcomerogenesis decreased process quality, abnormal"	true	0-0-GO:0048769-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009170	"obsolete ZFA:0000283 decreased size, abnormal"	true	0-0-ZFA:0000283-PATO:0000587-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009171	"obsolete ZFA:0000283 disorganized, abnormal"	true	0-0-ZFA:0000283-PATO:0000937-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009266	"obsolete heart abnormal, abnormal"	true	0-0-ZFA:0000114-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009447	"obsolete GO:0007067 disrupted, abnormal"	true	0-0-GO:0007067-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009464	"obsolete GO:0042516 disrupted, abnormal"	true	0-0-GO:0042516-PATO:0001507-0-0-0	
